City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Bilibino,RU,68.0546,166.4372,10.74,96,100,3.69,overcast clouds
333,Kununurra,AU,-15.7667,128.7333,80.58,78,25,6.91,scattered clouds
334,Cockburn Town,TC,21.4612,-71.1419,82.81,76,82,17.96,broken clouds
335,Ajka,HU,47.102,17.5589,56.52,78,31,3.11,scattered clouds
336,Saurimo,AO,-9.6608,20.3916,69.13,48,47,2.98,scattered clouds
337,Sitka,US,57.0531,-135.33,53.49,82,100,5.75,overcast clouds
338,Fort Nelson,CA,58.8053,-122.7002,58.59,36,75,18.41,broken clouds
339,Del Carmen,PH,9.8694,125.9697,82.22,77,100,10.18,overcast clouds
340,Falkenberg,SE,56.9055,12.4912,51.94,83,48,17.07,scattered clouds
341,Caravelas,BR,-17.7125,-39.2481,74.32,79,1,7.9,clear sky
342,Lompoc,US,34.6391,-120.4579,77.14,80,20,10.36,mist
343,Argoncilhe,PT,41.0254,-8.5389,64.51,83,0,2.06,clear sky
